Aaron Aar,Aarrie
Antonia Ant,Antie,An,Annie
Antonio Ant,Antie,An,Annie
Aran Ar,Arrie
Ariel Ar,Arrie
Armand Arm,Armie,Ar,Arrie
Arnold Arn,Arnie,Ar,Arrie
Arthur Art,Artie,Arth,Arthie,Ar,Arrie
Asa As,Assie
Asher Ash,Ashie,As,Assie
Ashley Ash,Ashie,As,Assie
Athol Ath,Athie,At,Attie
August Aug,Auggie
Auguste Aug,Auggie
Augustin Aug,Auggie
Augustine Aug,Auggie
Aurelia Aur,Aurrie
Bailey Bail
Barbara Barb,Barbie,Bar,Barrie
Barry Bar
Beatrice Beat,Beattie
Beau
Benito Ben,Bennie
Benjamin Benj,Benjie,Ben,Bennie
Bernadette Bern,Bernie,Ber,Berrie
Bernard Bern,Bernie,Ber,Berrie
Bernardo Bern,Bernie,Ber,Berrie
Berta Bert,Bertie,Ber,Berrie
Bertha Berth,Berthie,Ber,Berrie
Bertram Bert,Bertie,Ber,Berrie
Bertrand Bert,Bertie,Ber,Berrie
Bethany Beth,Bethie,Bet,Bettie
Blair Blairrie
Blanche Blan,Blannie
Booker Book,Bookkie
Bridget Brid,Briddie
Bruce Brucie
Cameron Cam,Cammie
Camille Cam,Cammie
Cande Can,Cannie
Candido Cand,Candie,Can,Cannie
Carl Car,Carrie
Carlota Car,Carrie
Carmela Carm,Carmie,Car,Carrie
Carmen Carm,Carmie,Car,Carrie
Carolina Carol,Car,Carrie
Caroline Carol,Car,Carrie
Casey Cas
Casimiro Cas,Cassie
Catherine Cath,Cathie,Cat,Cattie
Cecil Cec,Ceccie
Cecile Cec,Ceccie
Cecilia Cec,Ceccie
Celeste Cel,Cellie
Celestine Cel,Cellie
Celia Cel,Cellie
Charles Charlie,Chuck,Char,Charrie
Charlotte Charlie,Char,Charrie
Chris Chrissie
Christopher Christ,Christie,Chris,Chrissie
Christy Christ,Chris,Chrissie
Chus Chussie
Clair Clairrie
Claire
Clara Clar,Clarrie
Claude
Claudia Claud,Clauddie
Claudine Claud,Clauddie
Clemente Clem,Clemmie
Clementine Clem,Clemmie
Clifford Cliff,Cliffie,Clif
Clotilde Clot,Clottie
Clovis Clov,Clovvie
Colin Col,Collie
Constance Const,Constie,Con,Connie
Courtney Cour,Courrie
Craig Craiggie
Cruz Cruzzie
Cyril Cyr,Cyrrie
Daisy Dais
Dana Dan,Dannie
Daniel Dan,Dannie
David Dav,Davvie
Delfina Delf,Delfie,Del,Dellie
Delia Del,Dellie
Denis Den,Dennie
Denise Den,Dennie
Dennis Denn,Dennie,Den
Desmond Desmie,Des,Dessie
Devon Dev,Devvie
Diana Dian,Diannie
Diego Dieg,Dieggie
Dolores Dol,Dollie
Domingo Dom,Dommie
Donald Don,Donnie
Doris Dor,Dorrie
Dorothea Dor,Dorrie
Douglas Doug,Douggie
Duncan Dunc,Duncie,Dun,Dunnie
Eden Ed,Eddie
Edgar Ed,Eddie
Edith Ed,Eddie
Edmond Edmie,Ed,Eddie
Edmund Edmie,Ed,Eddie
Edna Ednie,Ed,Eddie
Edward Ed,Eddie
Edwin Ed,Eddie
Eike
Eileen Lina,Eil,Eillie
Ela El,Ellie
Eleanor El,Ellie
Elena El,Ellie
Eleonore El,Ellie
Elfriede Elf,Elfie,El,Ellie
Eli El
Eliane El,Ellie
Elie El
Elijah El,Ellie
Elisabeth Bess,Bessie,Beth,Betsy,Betty,Eliza,Libby,Liz,Lizzy,El,Ellie
Elise El,Ellie
Elizabeth Bess,Bessie,Beth,Betsy,Betty,Eliza,Libby,Liz,Lizzy,El,Ellie
Ella El
Ellen El
Ellis El
Eloisa El,Ellie
Elon El,Ellie
Elvira Elv,Elvie,El,Ellie
Emelie Em,Emmie
Emil Em,Emmie
Emile Em,Emmie
Emilia Em,Emmie
Emiliano Em,Emmie
Emilio Em,Emmie
Emily Em,Emmie
Emma Emm,Emmie,Em
Engel Eng,Engie,En,Ennie
Enrique En,Ennie
Ephraim Eph,Ephie,Ep,Eppie
Epifanio Ep,Eppie
Eric Er,Errie
Erna Ern,Ernie,Er,Errie
Ernest Ern,Ernie,Er,Errie
Ernestine Ern,Ernie,Er,Errie
Ernesto Ern,Ernie,Er,Errie
Ernst Ernstie,Er,Errie
Estelle Est,Estie,Es,Essie
Esther Esthie,Es,Essie
Ethel Eth,Ethie,Et,Ettie
Eugene Eug,Euggie
Eugenia Eug,Euggie
Eugenie Eug,Euggie
Eulalia Eul,Eullie
Eulalie Eul,Eullie
Eva Ev,Evvie
Evan Ev,Evvie
Ezra Ez,Ezzie
Fabian Fab,Fabbie
Federico Fed,Feddie
Felicia Fel,Fellie
Felicie Fel,Fellie
Felipe Fel,Fellie
Felix Fel,Fellie
Ferdinand Ferd,Ferdie,Fer,Ferrie
Fernand Fern,Fernie,Fer,Ferrie
Fernando Fern,Fernie,Fer,Ferrie
Filomena Fil,Fillie
Fiona Fion,Fionnie
Flann Flannie,Flan
Flora Flor,Florrie
Florencio Flor,Florrie
Florian Flor,Florrie
Francis Franc,Francie,Fran,Frannie
Francisca Franc,Francie,Fran,Frannie
Francisco Franc,Francie,Fran,Frannie
Francois Franc,Francie,Fran,Frannie
Frank Frankie,Fran,Frannie
Franz Franzie,Fran,Frannie
Freda Fred,Freddie
Frederick Fred,Freddie
Freeman Freem,Freemmie
Frieda Fried,Frieddie
Friedrich Fried,Frieddie
Gabriel Gab,Gabbie
Gaston Gast,Gastie,Gas,Gassie
Genevieve Gen,Gennie
Genoveva Gen,Gennie
George Geor,Georrie
Georgine Geor,Georrie
Gerald Ger,Gerrie
Gerhard Ger,Gerrie
German Germ,Germie,Ger,Gerrie
Gertrude Gert,Gertie,Ger,Gerrie
Gideon Gid,Giddie
Gilbert Gilb,Gilbie,Gil,Gillie
Gladys Glad,Gladdie
Gloria Glor,Glorrie
Golda Gold,Goldie,Gol,Gollie
Gordon Gord,Gordie,Gor,Gorrie
Gracia Grac,Graccie
Grant Grantie,Gran,Grannie
Gregoria Greg,Greggie
Gregorio Greg,Greggie
Guadelupe Guad,Guaddie
Guiomar Guiom,Guiommie
Gustav Gust,Gustie,Gus,Gussie
Gustave Gust,Gustie,Gus,Gussie
Guy
Hannah Hann,Hannie,Han
Hans Hansie,Han,Hannie
Harley Har,Harrie
Harriet Har
Hector Hect,Hectie,Hec,Heccie
Hedwig Hed,Heddie
Helene Hel,Hellie
Helga Hel,Hellie
Henri Hen,Hennie
Henriette Hen,Hennie
Henry Hen,Hennie
Herbert Herb,Herbie,Her,Herrie
Hermann Herm,Hermie,Her,Herrie
Hermine Herm,Hermie,Her,Herrie
Herminia Herm,Hermie,Her,Herrie
Hershel Hersh,Hershie,Her,Herrie
Hilda Hild,Hildie,Hil,Hillie
Hildegarde Hild,Hildie,Hil,Hillie
Honora Hon,Honnie
Horace Hor,Horrie
Hortense Hort,Hortie,Hor,Horrie
Hugo Hug,Huggie
Hyacinthe Hyac,Hyaccie
Hyman Hym,Hymmie
Ida Id,Iddie
Ignacio Ignie,Ig,Iggie
Ines In,Innie
Iona Ion,Ionnie
Ira Ir,Irrie
Irene Ir,Irrie
Irenee Ir,Irrie
Iris Ir,Irrie
Irma Irm,Irmie,Ir,Irrie
Irving Irv,Irvie,Ir,Irrie
Isaac Is,Issie
Isabel Is,Issie
Isabella Is,Issie
Isaiah Is,Issie
Isidore Is,Issie
Isla Is,Issie
Islay Is,Issie
Israel Is,Issie
Ivy Iv
Jack Jackie,Jac,Jaccie
Jacob Jac,Jaccie
Jacque Jac,Jaccie
James Jim,Jimmy,Jam,Jammie
Jamie Jam
Jane
Jean Jeannie
Jeanne Jean
Jesus Jes,Jessie
Jo
Joaquin Joaq,Joaqqie
Joel Joellie
Johanna Joh,Johhie
Jordan Jord,Jordie,Jor,Jorrie
Jose
Josefina Jos,Jossie
Joseph Jos,Jossie
Josephine Jos,Jossie
Juan Juannie
Juana Juan,Juannie
Judith Jud,Juddie
Jules Jul,Jullie
Julia Jules,Julie,Jul,Jullie
Julien Jul,Jullie
Juliette Jul,Jullie
Julio Jul,Jullie
Justin Just,Justie,Jus,Jussie
Justina Just,Justie,Jus,Jussie
Karl Kar,Karrie
Kate
Katrina Kat,Kattie
Keith Keithie,Keit,Keittie
Kelly Kel
Kennedy Kenn,Kennie,Ken
Kenneth Kenn,Kennie,Ken
King Kingie,Kin,Kinnie
Kirsty Kirst,Kir,Kirrie
Laura Laur,Laurrie
Laurence Larry,Laur,Laurrie
Lawrence Larry,Law,Lawwie
Lea
Leah Leahhie
Leigh Leig,Leiggie
Leon Leonnie
Leonce Leon,Leonnie
Leone
Leonie Leon
Leonor Leon,Leonnie
Levi Lev
Lewis Lew,Lewwie
Lillian Lil
Lily Lil
Lionel Lion,Lionnie
Lior Liorrie
Lorena Lor,Lorrie
Lorenza Lor,Lorrie
Lorenzo Lor,Lorrie
Louis Lou,Louissie
Louisa Lou,Louis,Louissie
Louise Lou
Lucas Luc,Luccie
Lucia Luc,Luccie
Lucie Luc
Lucien Luc,Luccie
Lucy Luc
Luis Luissie
Luisa Luis,Luissie
Luna Lun,Lunnie
Lupe
Luz Luzzie
Maayan Maayannie
Mabel Mab,Mabbie
Mackenzie Mack,Mackie,Mac,Maccie
Magdalena Lina,Magdie,Mag,Maggie
Malachi Mal,Mallie
Malcolm Malc,Malcie,Mal,Mallie
Maltilde Malt,Maltie,Mal,Mallie
Manuel Man,Mannie
Marcel Marc,Marcie,Mar,Marrie
Margaret Margie,Mar,Marrie
Margarete Margie,Mar,Marrie
Margarita Margie,Mar,Marrie
Margery Margie,Mar,Marrie
Marguerite Margie,Mar,Marrie
Maria Mar,Marrie
Marie Mar
Marion Mar,Marrie
Martha Marth,Marthie,Mar,Marrie
Marthilde Marth,Marthie,Mar,Marrie
Martin Mart,Martie,Mar,Marrie
Martina Mart,Martie,Mar,Marrie
Mary Mar
Master Mast,Mastie,Mas,Massie
Matthew Matthie,Mat
Mattie Matt,Mat
Maud Mauddie
Maurice Maur,Maurrie
Maxi Max
May
Mercedes Merc,Mercie,Mer,Merrie
Micha Mich,Michie,Mic,Miccie
Michael Mike,Mich,Michie,Mic,Miccie
Micheal Mike,Mich,Michie,Mic,Miccie
Michel Mike,Mich,Michie,Mic,Miccie
Miguel Mig,Miggie
Mildred Mild,Mildie,Mil,Millie
Millicent Mil
Millie Mil
Miriam Mir,Mirrie
Modeste Mod,Moddie
Mordecai Mord,Mordie,Mor,Morrie
Morgan Mor,Morrie
Moritz Mor,Morrie
Moses Mo,Mos,Mossie
Muriel Mur,Murrie
Murray Mur
Nancy Nan,Nanc,Nannie
Naomi Naom
Nathan Nate,Nath,Nathie,Nat,Nattie
Neil Neillie
Nellie Nel
Neta Net,Nettie
Nicolas Nick,Nic,Niccie
Noam Noammie
Noel Noellie
Noemie Noem
Nora Nor,Norrie
Norman Norm,Normie,Nor,Norrie
Octave Oct,Octie,Oc,Occie
Odelia Od,Oddie
Odile Od,Oddie
Ofir Of,Offie
Oliva Ol,Ollie
Olive Ol,Ollie
Omer Om,Ommie
Or Orrie
Ora Or,Orrie
Oran Or,Orrie
Orel Or,Orrie
Oren Or,Orrie
Otto Ott,Ottie,Ot
Owen Ow,Owwie
Pablo Pab,Pabbie
Padraigin Pad,Paddie
Patrick Pat,Pattie
Patrocinio Pat,Pattie
Patsy Pats,Pat,Pattie
Paul Paullie
Paula Paul,Paullie
Paulina Paul,Paullie
Pauline Paul,Paullie
Pedro Ped,Peddie
Percival Perc,Percie,Per,Perrie
Percy Perc,Per,Perrie
Perlie Per,Perrie
Peter Pete,Pet,Pettie
Philip Phil,Phillie
Phyllis Phyl
Pierre Pier
Presley Pres,Pressie
Prince Prin,Prinnie
Prudence Prud,Pruddie
Quinn Quinnie,Quin
Rachel Rach,Rachie,Rac,Raccie
Rafael Raf,Raffie
Ramona Ram,Rammie
Raoul Raoullie
Raymond Ray,Raym,Raymmie
Rebecca Becky,Reb,Rebbie
Rene
Reyes Reyessie
Richard Dick,Rich,Richie,Ric,Riccie
Robert Rob,Robbie
Roderick Rod,Roddie
Roger Rog,Roggie
Roland Rol,Rollie
Roman Rom,Rommie
Ronald Ron,Ronnie
Rory Ror
Rosa Rose,Ros,Rossie
Rosalia Rose,Ros,Rossie
Rosalie Rose,Ros,Rossie
Rose
Ross Rossie,Ros
Rowan Row,Rowwie
Roy
Ruben Rub,Rubbie
Ruby Rub
Rudolf Rud,Ruddie
Rueben Rueb,Ruebbie
Ruth Ruthie,Rut,Ruttie
Sabina Sab,Sabbie
Sally Sal
Salomon Sal,Sallie
Samuel Sam,Sammie
Santiago Sant,Santie,San,Sannie
Sarah Sar,Sarrie
Saul Saullie
Scott Scottie,Scot
Shachar Shach,Shachie,Shac,Shaccie
Shai
Shane
Shea
Shona Shon,Shonnie
Sigi Sig
Silvia Silv,Silvie,Sil,Sillie
Simon Sim,Simmie
Sofia Sof,Soffie
Solomon Sol,Sollie
Stanley Stan,Stannie
Stewart Stew,Stewwie
Stuart Stu,Stuartie,Stuar,Stuarrie
Susan Sue,Sus,Sussie
Susana Sue,Sus,Sussie
Suzanne Sue,Suz,Suzzie
Sydney Syd,Syddie
Taylor Tayl,Tayllie
Teresa Ter,Terrie
Theophile Theoph,Theophie,Theop,Theoppie
Therese Ther,Therrie
Thomas Tom,Thom,Thommie
Titus Tit,Tittie
Tomas Tom,Tommie
Trinidad Trin,Trinnie
Ulli Ul
Una Un,Unnie
Uria Ur,Urrie
Uriel Ur,Urrie
Valentine Val,Vallie
Valeria Val,Vallie
Vera Ver,Verrie
Vicente Vic,Viccie
Victor Vict,Victie,Vic,Viccie
Victorine Vict,Victie,Vic,Viccie
Vincent Vinc,Vincie,Vin,Vinnie
Violet Viol,Viollie
Walter Walt,Waltie,Wal,Wallie
Wayne
Werner Wern,Wernie,Wer,Werrie
Wilhelm Wil,Willie
Wilhelmine Wil,Willie
William Wil
Willy Wil
Winifred Win,Winnie
Yunuen Yun,Yunnie
Yuval Yuv,Yuvvie
Zelda Zeld,Zeldie,Zel,Zellie
